,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
0,2010-01-04,1455.0,1484.95,1421.0,1477.55,1468.1269080716638,105604,2518,155040074.0,9596.0,9.09,63.95,22.55
1,2010-01-05,1480.0,1522.75,1465.0,1512.9,1507.98681728384,134646,3861,203044393.0,22506.0,16.71,57.75,32.9
2,2010-01-06,1522.0,1523.8,1496.0,1508.8,1508.0242557061288,67077,2111,101153743.0,9000.0,13.42,27.8,-13.2
3,2010-01-07,1520.0,1624.0,1504.0,1600.6,1563.3459349820428,268695,7869,420063236.0,18383.0,6.84,120.0,80.6
4,2010-01-08,1611.15,1635.0,1572.0,1594.5,1606.164116385191,238209,7833,382602748.0,14057.0,5.9,63.0,-16.65
5,2010-01-11,1601.0,1624.5,1600.0,1605.05,1611.14591572492,92293,3096,148697490.0,11427.0,12.38,24.5,4.05
6,2010-01-12,1610.0,1618.75,1567.25,1573.85,1589.9592117561533,77032,2378,122477738.0,3863.0,5.01,51.5,-36.15
7,2010-01-13,1563.0,1670.0,1551.25,1656.5,1616.837146418,179732,6123,290597374.0,14031.0,7.81,118.75,93.5
8,2010-01-14,1656.0,1689.0,1645.1,1659.8,1667.2737203858348,120466,3712,200849796.0,12265.0,10.18,43.9,3.8
9,2010-01-15,1659.8,1679.85,1646.0,1657.35,1663.8376258670849,89380,2849,148713807.0,3688.0,4.13,33.85,-2.45
10,2010-01-18,1649.9,1670.95,1642.1,1648.35,1654.0548757088643,93812,2707,155170196.0,8026.0,8.56,28.85,-1.55
11,2010-01-19,1653.0,1681.0,1643.0,1647.95,1662.5753462603877,104690,2592,174055013.0,8034.0,7.67,38.0,-5.05
12,2010-01-20,1658.0,1718.0,1652.0,1701.8,1687.2659017633807,177103,4624,298819853.0,16784.0,9.48,66.0,43.8
13,2010-01-21,1685.0,1685.0,1606.0,1625.65,1655.3158110854852,146119,3426,241873091.0,31939.0,21.86,79.0,-59.35
14,2010-01-22,1605.0,1610.0,1549.0,1554.7,1568.5928935161128,105847,2916,166030852.0,7643.0,7.22,61.0,-50.3
15,2010-01-25,1549.1,1628.0,1518.05,1524.05,1536.9974464221539,105734,2699,162512888.0,12803.0,12.11,109.95,-25.05
16,2010-01-27,1515.0,1525.0,1404.0,1419.0,1461.7099095240642,93395,2610,136516397.0,11245.0,12.04,121.0,-96.0
17,2010-01-28,1443.0,1446.0,1371.05,1408.6,1413.3760249046343,91228,3203,128939468.0,4643.0,5.09,74.95,-34.4
18,2010-01-29,1399.0,1450.0,1351.2,1436.2,1388.8606435905576,94470,3144,131205665.0,4587.0,4.86,98.8,37.2
19,2010-02-01,1440.0,1599.0,1420.0,1584.9,1543.3053854608258,216546,8810,334196608.0,17528.0,8.09,179.0,144.9
